"","iso3c","date","SN.ITK.DEFC.ZS","bins"
"1","ABW",2015,NA,NA
"2","AFG",2015,28.6,"15 and over"
"3","AGO",2015,26.4,"15 and over"
"4","ALB",2015,6,"5–15"
"5","AND",2015,NA,NA
"6","ARE",2015,3.1,"0–5"
"7","ARG",2015,3.6,"0–5"
"8","ARM",2015,3.8,"0–5"
"9","ASM",2015,NA,NA
"10","ATG",2015,NA,NA
"11","AUS",2015,2.5,"0–5"
"12","AUT",2015,2.5,"0–5"
"13","AZE",2015,2.5,"0–5"
"14","BDI",2015,NA,NA
"15","BEL",2015,2.5,"0–5"
"16","BEN",2015,9.9,"5–15"
"17","BFA",2015,20,"15 and over"
"18","BGD",2015,15.7,"15 and over"
"19","BGR",2015,4.1,"0–5"
"20","BHR",2015,NA,NA
"21","BHS",2015,NA,NA
"22","BIH",2015,2.5,"0–5"
"23","BLR",2015,2.5,"0–5"
"24","BLZ",2015,8.1,"5–15"
"25","BMU",2015,NA,NA
"26","BOL",2015,18,"15 and over"
"27","BRA",2015,2.5,"0–5"
"28","BRB",2015,3.7,"0–5"
"29","BRN",2015,3,"0–5"
"30","BTN",2015,NA,NA
"31","BWA",2015,26.1,"15 and over"
"32","CAF",2015,57.8,"15 and over"
"33","CAN",2015,2.5,"0–5"
"34","CHE",2015,2.5,"0–5"
"35","CHI",2015,NA,NA
"36","CHL",2015,3.2,"0–5"
"37","CHN",2015,8.9,"5–15"
"38","CIV",2015,20.4,"15 and over"
"39","CMR",2015,7.7,"5–15"
"40","COD",2015,NA,NA
"41","COG",2015,37.7,"15 and over"
"42","COL",2015,6.5,"5–15"
"43","COM",2015,NA,NA
"44","CPV",2015,13,"5–15"
"45","CRI",2015,5.1,"5–15"
"46","CUB",2015,2.5,"0–5"
"47","CUW",2015,NA,NA
"48","CYM",2015,NA,NA
"49","CYP",2015,6,"5–15"
"50","CZE",2015,2.5,"0–5"
"51","DEU",2015,2.5,"0–5"
"52","DJI",2015,19,"15 and over"
"53","DMA",2015,6.5,"5–15"
"54","DNK",2015,2.5,"0–5"
"55","DOM",2015,11,"5–15"
"56","DZA",2015,4,"0–5"
"57","ECU",2015,8,"5–15"
"58","EGY",2015,4.4,"0–5"
"59","ERI",2015,NA,NA
"60","ESP",2015,2.5,"0–5"
"61","EST",2015,3,"0–5"
"62","ETH",2015,22.7,"15 and over"
"63","FIN",2015,2.5,"0–5"
"64","FJI",2015,3.8,"0–5"
"65","FRA",2015,2.5,"0–5"
"66","FRO",2015,NA,NA
"67","FSM",2015,NA,NA
"68","GAB",2015,8.9,"5–15"
"69","GBR",2015,2.5,"0–5"
"70","GEO",2015,7.6,"5–15"
"71","GHA",2015,6.2,"5–15"
"72","GIB",2015,NA,NA
