"Country Code","Series Code","Time","Value"
"ABW","SN.ITK.DEFC.ZS",2015,..
"AFG","SN.ITK.DEFC.ZS",2015,28.6
"AGO","SN.ITK.DEFC.ZS",2015,26.4
"ALB","SN.ITK.DEFC.ZS",2015,6
"AND","SN.ITK.DEFC.ZS",2015,..
"ARE","SN.ITK.DEFC.ZS",2015,3.1
"ARG","SN.ITK.DEFC.ZS",2015,3.6
"ARM","SN.ITK.DEFC.ZS",2015,3.8
"ASM","SN.ITK.DEFC.ZS",2015,..
"ATG","SN.ITK.DEFC.ZS",2015,..
"AUS","SN.ITK.DEFC.ZS",2015,2.5
"AUT","SN.ITK.DEFC.ZS",2015,2.5
"AZE","SN.ITK.DEFC.ZS",2015,2.5
"BDI","SN.ITK.DEFC.ZS",2015,..
"BEL","SN.ITK.DEFC.ZS",2015,2.5
"BEN","SN.ITK.DEFC.ZS",2015,9.9
"BFA","SN.ITK.DEFC.ZS",2015,20
"BGD","SN.ITK.DEFC.ZS",2015,15.7
"BGR","SN.ITK.DEFC.ZS",2015,4.1
"BHR","SN.ITK.DEFC.ZS",2015,..
"BHS","SN.ITK.DEFC.ZS",2015,..
"BIH","SN.ITK.DEFC.ZS",2015,2.5
"BLR","SN.ITK.DEFC.ZS",2015,2.5
"BLZ","SN.ITK.DEFC.ZS",2015,8.1
"BMU","SN.ITK.DEFC.ZS",2015,..
"BOL","SN.ITK.DEFC.ZS",2015,18
"BRA","SN.ITK.DEFC.ZS",2015,2.5
"BRB","SN.ITK.DEFC.ZS",2015,3.7
"BRN","SN.ITK.DEFC.ZS",2015,3
"BTN","SN.ITK.DEFC.ZS",2015,..
"BWA","SN.ITK.DEFC.ZS",2015,26.1
"CAF","SN.ITK.DEFC.ZS",2015,57.8
"CAN","SN.ITK.DEFC.ZS",2015,2.5
"CHE","SN.ITK.DEFC.ZS",2015,2.5
"CHI","SN.ITK.DEFC.ZS",2015,..
"CHL","SN.ITK.DEFC.ZS",2015,3.2
"CHN","SN.ITK.DEFC.ZS",2015,8.9
"CIV","SN.ITK.DEFC.ZS",2015,20.4
